type,name,defense,defense1,defense2,defense3,defense4,defense5,decoration,skill1,skLV1,skill2,skLV2,material1,mNUM,material3,mNUM2,material5,mNUM3,material7,mNUM4,caseSk
身體防具,皮製服飾α,32,2,0,0,0,0,---,火耐性,1,,,靈鶴石,2,良質毛皮,1,,,,,
身體防具,皮製服飾β,32,2,0,0,0,0,1--,,,,,靈鶴石,2,良質毛皮,1,,,,,
身體防具,鎖甲服飾α,32,0,2,0,0,0,---,水耐性,1,,,靈鶴石,2,輝龍石,2,,,,,
身體防具,鎖甲服飾β,32,0,2,0,0,0,1--,,,,,靈鶴石,2,輝龍石,2,,,,,
身體防具,獵人鎧甲α,36,2,2,0,0,0,---,投射器裝填數UP,2,,,凶豺龍的上皮,3,良質硬骨,4,,,,,
身體防具,獵人鎧甲β,36,2,2,0,0,0,1--,投射器裝填數UP,1,,,凶豺龍的上皮,3,良質硬骨,4,,,,,
身體防具,骨製鎧甲α,36,2,0,2,0,2,---,攻擊,2,,,良質硬骨,2,上龍骨,2,龍骨【大】,3,,,
身體防具,骨製鎧甲β,36,2,0,2,0,2,1--,攻擊,1,,,良質硬骨,2,上龍骨,2,龍骨【大】,3,,,
身體防具,合金鎧甲α,36,-2,0,-2,-2,0,---,水耐性,2,,,靈鶴石,2,輝龍石,4,深海結晶,4,燕雀石,5,
身體防具,合金鎧甲β,36,-2,0,-2,-2,0,1--,水耐性,1,,,靈鶴石,2,輝龍石,4,深海結晶,4,燕雀石,5,
身體防具,獨角仙上身α,42,-1,-1,2,0,2,---,收刀術,2,植生學,1,大角鳳蝶,1,龍脈結晶,2,巨甲蟲的堅殼,3,猛毒袋,2,
身體防具,獨角仙上身β,42,-1,-1,2,0,2,1--,收刀術,2,,,大角鳳蝶,1,龍脈結晶,2,巨甲蟲的堅殼,3,猛毒袋,2,
身體防具,巨蜂鎧甲α,38,-2,1,1,1,2,---,風壓耐性,2,,,巨蜂的堅殼,3,巨蜂的薄羽,2,尖龍骨,2,,,
身體防具,巨蜂鎧甲β,38,-2,1,1,1,2,1--,風壓耐性,1,,,巨蜂的堅殼,3,巨蜂的薄羽,2,尖龍骨,2,,,
身體防具,巨甲蟲鎧甲α,38,-1,-1,0,0,2,---,適應瘴氣環境,1,飢餓耐性,1,巨甲蟲的堅殼,4,巨甲蟲的薄羽,2,巨甲蟲的頭,1,亮水晶,1,
身體防具,巨甲蟲鎧甲β,38,-1,-1,0,0,2,1--,適應瘴氣環境,1,,,巨甲蟲的堅殼,4,巨甲蟲的薄羽,2,巨甲蟲的頭,1,亮水晶,1,
身體防具,凶豺龍鎧甲α,40,-2,2,-1,-1,1,---,威嚇,2,,,大凶豺龍的上皮,2,大凶豺龍的尖爪,4,大凶豺龍的上鱗,4,凶豺龍的上皮,2,
身體防具,凶豺龍鎧甲β,40,-2,2,-1,-1,1,1--,威嚇,1,,,大凶豺龍的上皮,2,大凶豺龍的尖爪,4,大凶豺龍的上鱗,4,凶豺龍的上皮,2,
身體防具,搔鳥鎧甲α,40,0,-3,0,1,0,---,耐力急速回復,1,看破,1,搔鳥的上皮,4,搔鳥的大飾羽,3,搔鳥的大啄,2,鳥龍玉,1,
身體防具,搔鳥鎧甲β,40,0,-3,0,1,0,1--,耐力急速回復,1,,,搔鳥的上皮,4,搔鳥的大飾羽,3,搔鳥的大啄,2,鳥龍玉,1,
身體防具,眩鳥鎧甲α,40,0,0,-3,-2,1,---,體術,1,水屬性攻擊強化,2,眩鳥的上皮,4,眩鳥的尖爪,4,眩鳥的閃光膜,3,鳥龍玉,1,
身體防具,眩鳥鎧甲β,40,0,0,-3,-2,1,11-,體術,1,,,眩鳥的上皮,4,眩鳥的尖爪,4,眩鳥的閃光膜,3,鳥龍玉,1,
身體防具,凶顎龍鎧甲α,40,0,-3,2,0,1,---,麻痺耐性,2,,,大凶顎龍的上皮,4,大凶顎龍的銳牙,4,強力麻痺袋,3,鳥龍玉,1,
身體防具,凶顎龍鎧甲β,40,0,-3,2,0,1,1--,麻痺耐性,1,,,大凶顎龍的上皮,4,大凶顎龍的銳牙,4,強力麻痺袋,3,鳥龍玉,1,
身體防具,毒妖鳥鎧甲α,42,0,3,-3,0,1,---,道具使用強化,1,植生學,1,毒妖鳥的上鱗,4,毒妖鳥的堅殼,3,靈鶴石,3,,,
身體防具,毒妖鳥鎧甲β,42,0,3,-3,0,1,1--,道具使用強化,1,,,毒妖鳥的上鱗,4,毒妖鳥的堅殼,3,靈鶴石,3,,,
身體防具,土砂龍鎧甲α,42,-3,-1,3,-1,0,---,奪取耐力,2,,,土砂龍的堅殼,4,土砂龍的堅甲,2,土砂龍的銳爪,2,良質硬骨,5,
身體防具,土砂龍鎧甲β,42,-3,-1,3,-1,0,1--,奪取耐力,1,,,土砂龍的堅殼,4,土砂龍的堅甲,2,土砂龍的銳爪,2,良質硬骨,5,
