name,describe,level
火炎珠,火属性攻撃強化＋１,Lv1
流水珠,水属性攻撃強化+１,Lv1
雷光珠,雷属性攻撃強化+１,Lv1
氷結珠,氷属性攻撃強化+１,Lv1
破龍珠,龍属性攻撃強化+１,Lv1
毒珠,毒属性強化+１,Lv1
超心珠,超会心+１,Lv2
無撃珠,無属性強化+１,Lv2
砲手珠,砲撃手+１,Lv1
攻撃珠,攻撃+１,Lv1
匠珠,匠+１,Lv3
強弓珠,弓溜め段階解放+１,Lv2
解放珠,属性解放／装備拡張+１,Lv3
渾身珠,渾身+１,Lv2
抜刀珠,抜刀術【技】+１,Lv2
砲術珠,砲術+１,Lv1
心眼珠,心眼／弾導強化+１,Lv2
龍封珠,龍封力強化+１,Lv3
痛撃珠,弱点特効+１,Lv2
短縮珠,集中+１,Lv2
達人珠,見切り+１,Lv1
全開珠,力の解放+１,Lv2
飛燕珠,飛燕+１,Lv2
逆境珠,不屈+１,Lv1
耐麻珠,麻痺耐性+１,Lv1
耐絶珠,気絶耐性+１,Lv1
耐爆珠,爆破やられ耐性+１,Lv1
耐防珠,防御力DOWN耐性+１,Lv1
耐火珠,火耐性+１,Lv1
耐水珠,水耐性+１,Lv1
耐氷珠,氷耐性+１,Lv1
耐龍珠,龍耐性+１,Lv1
耐瘴珠,瘴気耐性+１,Lv1
耐属珠,属性やられ耐性+１,Lv1
防音珠,耳栓+１,Lv3
耐衝珠,ひるみ軽減+１,Lv3
防風珠,風圧耐性+１,Lv2
強壁珠,ガード強化+１,Lv2
加護珠,精霊の加護+１,Lv1
体力珠,体力増強+１,Lv1
早復珠,回復速度+１,Lv1
治癒珠,体力回復量UP+１,Lv1
窮地珠,死中に活+１,Lv1
体術珠,体術+１,Lv2
奪気珠,スタミナ奪取+１,Lv1
投石珠,スリンガー装填数UP+１,Lv1
整備珠,整備+１,Lv1
速納珠,納刀術+１,Lv1
剛刃珠,剛刃研磨+１,Lv2
威嚇珠,威嚇+１,Lv1
友愛珠,広域化+１,Lv1
鼓笛珠,笛吹き名人+１,Lv1
潜伏珠,潜伏+１,Lv1
標本珠,昆虫標本の達人+１,Lv1
毒瓶珠,毒ビン追加+１,Lv3
痺瓶珠,麻痺ビン追加+１,Lv3
眠瓶珠,睡眠ビン追加+１,Lv3
爆瓶珠,爆破ビン追加+１,Lv3
采配珠,オトモへの采配+１,Lv1
