type,name,defense,defense1,defense2,defense3,defense4,defense5,decoration,skill1,skLV1,skill2,skLV2,material1,mNUM,material3,mNUM2,material5,mNUM3,material7,mNUM4,caseSk
腕部防具,皮製手套α,32,2,0,0,0,0,---,回復速度,1,,,靈鶴石,2,良質毛皮,1,,,,,
腕部防具,皮製手套β,32,2,0,0,0,0,1--,,,,,靈鶴石,2,良質毛皮,1,,,,,
腕部防具,鎖甲手套α,32,0,2,0,0,0,---,回復速度,1,,,靈鶴石,2,輝龍石,2,,,,,
腕部防具,鎖甲手套β,32,0,2,0,0,0,1--,,,,,靈鶴石,2,輝龍石,2,,,,,
腕部防具,獵人腕甲α,36,2,2,0,0,0,---,潛伏,2,,,凶豺龍的上皮,2,凶豺龍的上鱗,4,,,,,
腕部防具,獵人腕甲β,36,2,2,0,0,0,1--,潛伏,1,,,凶豺龍的上皮,2,凶豺龍的上鱗,4,,,,,
腕部防具,骨製腕甲α,36,2,0,2,0,2,---,KO術,1,攻擊,1,良質硬骨,3,上龍骨,2,珊瑚紅骨,2,,,
腕部防具,骨製腕甲β,36,2,0,2,0,2,1--,KO術,1,,,良質硬骨,3,上龍骨,2,珊瑚紅骨,2,,,
腕部防具,合金腕甲α,36,-2,0,-2,-2,0,---,防禦,1,砥石使用高速化,1,靈鶴石,2,輝龍石,4,大地結晶,4,燕雀石,5,
腕部防具,合金腕甲β,36,-2,0,-2,-2,0,1--,防禦,1,,,靈鶴石,2,輝龍石,4,大地結晶,4,燕雀石,5,
腕部防具,獨角仙護袖α,42,-1,-1,2,0,2,1--,植生學,2,飛身躍入,1,大角鳳蝶,1,龍脈結晶,2,魔物濃液,2,大水袋,2,
腕部防具,獨角仙護袖β,42,-1,-1,2,0,2,21-,植生學,2,,,大角鳳蝶,1,龍脈結晶,2,魔物濃液,2,大水袋,2,
腕部防具,巨蜂腕甲α,38,-2,1,1,1,2,---,麻痺屬性強化,2,,,巨蜂的堅殼,4,巨蜂的薄羽,2,魔物濃液,3,強力麻痺袋,2,
腕部防具,巨蜂腕甲β,38,-2,1,1,1,2,1--,麻痺屬性強化,1,,,巨蜂的堅殼,4,巨蜂的薄羽,2,魔物濃液,3,強力麻痺袋,2,
腕部防具,巨甲蟲腕甲α,38,-1,-1,0,0,2,---,滿足感,1,飢餓耐性,1,巨甲蟲的堅殼,3,巨甲蟲的薄羽,2,魔物濃液,2,,,
腕部防具,巨甲蟲腕甲β,38,-1,-1,0,0,2,1--,滿足感,1,,,巨甲蟲的堅殼,3,巨甲蟲的薄羽,2,魔物濃液,2,,,
腕部防具,冠突龍護手α,40,4,0,0,0,0,---,滑走強化,1,集中,1,冠突龍的堅殼,6,冠突龍的頭殼,3,良質硬骨,3,,,
腕部防具,冠突龍護手β,40,4,0,0,0,0,1--,滑走強化,1,,,冠突龍的堅殼,6,冠突龍的頭殼,3,良質硬骨,3,,,
腕部防具,凶豺龍腕甲α,40,-2,2,-1,-1,1,---,指示隨從,1,威嚇,1,大凶豺龍的上鱗,4,大凶豺龍的上皮,2,上龍骨,3,凶豺龍的上皮,1,
腕部防具,凶豺龍腕甲β,40,-2,2,-1,-1,1,1--,指示隨從,1,,,大凶豺龍的上鱗,4,大凶豺龍的上皮,2,上龍骨,3,凶豺龍的上皮,1,
腕部防具,搔鳥腕甲α,40,0,-3,0,1,0,---,搬運達人,1,看破,1,搔鳥的上鱗,4,搔鳥的上皮,2,靈鶴石,3,,,
腕部防具,搔鳥腕甲β,40,0,-3,0,1,0,2--,搬運達人,1,,,搔鳥的上鱗,4,搔鳥的上皮,2,靈鶴石,3,,,
腕部防具,眩鳥腕甲α,40,0,0,-3,-2,1,---,昏厥耐性,2,廣域化,1,眩鳥的上皮,4,眩鳥的閃光膜,2,眩鳥的上鱗,4,龍脈結晶,2,
腕部防具,眩鳥腕甲β,40,0,0,-3,-2,1,1--,昏厥耐性,2,,,眩鳥的上皮,4,眩鳥的閃光膜,2,眩鳥的上鱗,4,龍脈結晶,2,
腕部防具,凶顎龍腕甲α,40,0,-3,2,0,1,---,指示隨從,2,,,大凶顎龍的上鱗,4,大凶顎龍的上皮,2,凶顎龍的麻痺牙,2,強力麻痺袋,2,
腕部防具,凶顎龍腕甲β,40,0,-3,2,0,1,1--,指示隨從,1,,,大凶顎龍的上鱗,4,大凶顎龍的上皮,2,凶顎龍的麻痺牙,2,強力麻痺袋,2,
腕部防具,毒妖鳥腕甲α,42,0,3,-3,0,1,---,毒耐性,2,毒屬性強化,1,毒妖鳥的上鱗,4,毒妖鳥的堅殼,3,猛毒袋,1,,,
腕部防具,毒妖鳥腕甲β,42,0,3,-3,0,1,11-,毒耐性,1,,,毒妖鳥的上鱗,4,毒妖鳥的堅殼,3,猛毒袋,1,,,
腕部防具,土砂龍腕甲α,42,-3,-1,3,-1,0,---,跑者,1,奪取耐力,1,土砂龍的堅甲,4,土砂龍的頭殼,2,土砂龍的堅殼,3,龍玉,1,
腕部防具,土砂龍腕甲β,42,-3,-1,3,-1,0,1--,跑者,1,,,土砂龍的堅甲,4,土砂龍的頭殼,2,土砂龍的堅殼,3,龍玉,1,
腕部防具,蠻顎龍腕甲α,44,3,-3,-1,-1,0,---,特殊射擊強化,1,火屬性攻擊強化,1,蠻顎龍的上毛皮,4,蠻顎龍的上鱗,4,蠻顎龍的大鼻骨,1,尖龍骨,4,蠻顎龍之鬥志
腕部防具,蠻顎龍腕甲β,44,3,-3,-1,-1,0,1--,特殊射擊強化,1,,,蠻顎龍的上毛皮,4,蠻顎龍的上鱗,4,蠻顎龍的大鼻骨,1,尖龍骨,4,蠻顎龍之鬥志
腕部防具,泥魚龍腕甲α,44,-1,2,-3,0,0,---,水屬性攻擊強化,2,適應水場,1,泥魚龍的堅殼,4,泥魚龍的銳牙,3,咬魚的大鬚,2,尖龍骨,3,
腕部防具,泥魚龍腕甲β,44,-1,2,-3,0,0,1--,水屬性攻擊強化,2,,,泥魚龍的堅殼,4,泥魚龍的銳牙,3,咬魚的大鬚,2,尖龍骨,3,
腕部防具,飛雷龍腕甲α,44,0,-3,3,0,0,---,迴避距離UP,2,,,飛雷龍的上毛皮,4,飛雷龍的尖爪,4,飛雷龍的上鱗,2,尖龍骨,4,
腕部防具,飛雷龍腕甲β,44,0,-3,3,0,0,2--,迴避距離UP,1,,,飛雷龍的上毛皮,4,飛雷龍的尖爪,4,飛雷龍的上鱗,2,尖龍骨,4,
腕部防具,浮空龍腕甲α,44,-3,2,0,1,0,---,砲術,2,,,浮空龍的上毛皮,4,浮空龍的上鱗,2,浮空龍之翼,2,良質硬骨,5,
腕部防具,浮空龍腕甲β,44,-3,2,0,1,0,1--,砲術,1,,,浮空龍的上毛皮,4,浮空龍的上鱗,2,浮空龍之翼,2,良質硬骨,5,
腕部防具,雌火龍腕甲α,46,2,0,-2,0,-3,---,毒屬性強化,2,,,雌火龍的堅殼,4,雌火龍的上鱗,4,雌火龍的上棘,2,尖龍骨,4,
腕部防具,雌火龍腕甲β,46,2,0,-2,0,-3,1--,毒屬性強化,1,,,雌火龍的堅殼,4,雌火龍的上鱗,4,雌火龍的上棘,2,尖龍骨,4,
腕部防具,火龍心腕甲α,52,3,0,-3,0,-4,---,風壓耐性,2,,,櫻火龍的堅殼,6,櫻火龍的上鱗,2,雌火龍的上棘,3,雌火龍的紅玉,1,櫻火龍之奧祕
腕部防具,火龍心腕甲β,52,3,0,-3,0,-4,2--,風壓耐性,1,,,櫻火龍的堅殼,6,櫻火龍的上鱗,2,雌火龍的上棘,3,雌火龍的紅玉,1,櫻火龍之奧祕
腕部防具,骨鎚龍腕甲α,46,0,2,0,-1,-2,---,睡眠屬性強化,2,防禦性能,1,骨鎚龍的上鱗,4,骨鎚龍的堅殼,3,骨鎚龍的黑油殼,2,硬質骨頭,8,
腕部防具,骨鎚龍腕甲β,46,0,2,0,-1,-2,1--,睡眠屬性強化,1,防禦性能,1,骨鎚龍的上鱗,4,骨鎚龍的堅殼,3,骨鎚龍的黑油殼,2,硬質骨頭,8,
腕部防具,岩賊龍腕甲α,48,2,0,-3,0,2,---,炸彈客,2,,,岩賊龍的上皮,4,岩賊龍的尖爪,4,岩賊龍的上鱗,4,白鳩石,6,
腕部防具,岩賊龍腕甲β,48,2,0,-3,0,2,1--,炸彈客,1,,,岩賊龍的上皮,4,岩賊龍的尖爪,4,岩賊龍的上鱗,4,白鳩石,6,
腕部防具,鑄島熔岩鋼爪α,44,4,-3,-1,-2,-3,---,屬性解放/裝填擴充,1,炸彈客,1,熔山龍的熱鱗,3,熔山龍的胸殼,3,熔山龍的岩漿,2,輝龍石,8,熔山龍的奧祕
腕部防具,鑄島熔岩鋼爪β,44,4,-3,-1,-2,-3,1--,屬性解放/裝填擴充,1,,,熔山龍的熱鱗,3,熔山龍的胸殼,3,熔山龍的岩漿,2,輝龍石,8,熔山龍的奧祕
腕部防具,礦石腕甲α,50,0,-1,-2,3,0,---,防禦,2,冰屬性攻擊強化,1,白鳩石,4,靈鶴石,3,龍脈結晶,4,酸翼龍的上皮,4,
腕部防具,礦石腕甲β,50,0,-1,-2,3,0,1--,防禦,2,,,白鳩石,4,靈鶴石,3,龍脈結晶,4,酸翼龍的上皮,4,
腕部防具,鑄鐵腕甲α,50,-2,0,3,-1,0,---,體力增強,2,雷屬性攻擊強化,1,白鳩石,1,堅龍骨,3,輝龍石,4,突擊龍的尖角,2,
腕部防具,鑄鐵腕甲β,50,-2,0,3,-1,0,1--,體力增強,2,,,白鳩石,1,堅龍骨,3,輝龍石,4,突擊龍的尖角,2,
腕部防具,旅團腕甲α,52,1,0,2,0,2,---,砲擊手,2,精靈加護,1,狩獵王硬幣,2,土砂龍硬幣,4,火龍硬幣,3,堅龍骨,2,
