type,name,defense,defense1,defense2,defense3,defense4,defense5,decoration,skill1,skLV1,skill2,skLV2,material1,mNUM,material3,mNUM2,material5,mNUM3,material7,mNUM4,caseSk
頭部防具,皮製頭飾α,32,2,0,0,0,0,---,飢餓耐性,2,,,靈鶴石,3,良質毛皮,1,,,,,
頭部防具,皮製頭飾β,32,2,0,0,0,0,1--,飢餓耐性,1,,,靈鶴石,3,良質毛皮,1,,,,,
頭部防具,鎖甲頭飾α,32,0,2,0,0,0,---,採集達人,1,防禦性能,1,靈鶴石,3,輝龍石,2,,,,,
頭部防具,鎖甲頭飾β,32,0,2,0,0,0,1--,採集達人,1,,,靈鶴石,3,輝龍石,2,,,,,
頭部防具,獵人頭盔α,36,2,2,0,0,0,---,導蟲反應距離UP,1,研究者,1,凶豺龍的上皮,3,凶豺龍的上鱗,4,,,,,
頭部防具,獵人頭盔β,36,2,2,0,0,0,1--,導蟲反應距離UP,1,,,凶豺龍的上皮,3,凶豺龍的上鱗,4,,,,,
頭部防具,骨製頭盔α,36,2,0,2,0,2,---,體力增強,1,昆蟲標本達人,1,良質硬骨,3,上龍骨,2,扭曲狂骨,2,,,
頭部防具,骨製頭盔β,36,2,0,2,0,2,1--,體力增強,1,,,良質硬骨,3,上龍骨,2,扭曲狂骨,2,,,
頭部防具,合金頭盔α,36,-2,0,-2,-2,0,---,風壓耐性,1,防禦,1,靈鶴石,3,輝龍石,6,龍脈結晶,3,燕雀石,5,
頭部防具,合金頭盔β,36,-2,0,-2,-2,0,1--,風壓耐性,1,,,靈鶴石,3,輝龍石,6,龍脈結晶,3,燕雀石,5,
頭部防具,獨角仙護頭α,42,-1,-1,2,0,2,---,迴避性能,2,植生學,1,大角鳳蝶,1,靈鶴石,2,魔物濃液,2,爆炎袋,3,
頭部防具,獨角仙護頭β,42,-1,-1,2,0,2,1--,迴避性能,2,,,大角鳳蝶,1,靈鶴石,2,魔物濃液,2,爆炎袋,3,
頭部防具,巨蜂頭盔α,38,-2,1,1,1,2,---,收刀術,1,麻痺屬性強化,1,巨蜂的堅殼,3,巨蜂的薄羽,2,尖龍骨,2,,,
頭部防具,巨蜂頭盔β,38,-2,1,1,1,2,1--,收刀術,1,,,巨蜂的堅殼,3,巨蜂的薄羽,2,尖龍骨,2,,,
頭部防具,巨甲蟲頭盔α,38,-1,-1,0,0,2,---,異臭名人,1,龍屬性攻擊強化,1,巨甲蟲的堅殼,3,巨甲蟲的薄羽,2,魔物濃液,2,,,
頭部防具,巨甲蟲頭盔β,38,-1,-1,0,0,2,1--,異臭名人,1,,,巨甲蟲的堅殼,3,巨甲蟲的薄羽,2,魔物濃液,2,,,
頭部防具,菌豬頭套α,40,2,2,2,2,2,---,最愛菇類,2,,,菌豬苔皮,3,蠻顎龍的大鼻骨,1,大凶顎龍的上皮,3,璀璨水晶,1,
頭部防具,貓蜥龍護目鏡α,40,2,2,0,-3,0,---,察覺,1,地質學,1,貓蜥龍的上皮,3,貓蜥龍的上鱗,4,龍脈結晶,3,,,
頭部防具,貓蜥龍護目鏡β,40,2,2,0,-3,0,1--,察覺,1,,,貓蜥龍的上皮,3,貓蜥龍的上鱗,4,龍脈結晶,3,,,
頭部防具,凶豺龍頭盔α,40,-2,2,-1,-1,1,---,快吃,2,,,大凶豺龍的上皮,4,大凶豺龍的鬃毛,2,大凶豺龍的尖爪,4,銳爪,2,
頭部防具,凶豺龍頭盔β,40,-2,2,-1,-1,1,1--,快吃,1,,,大凶豺龍的上皮,4,大凶豺龍的鬃毛,2,大凶豺龍的尖爪,4,銳爪,2,
頭部防具,搔鳥頭盔α,40,0,-3,0,1,0,---,火耐性,1,弱點特效,1,搔鳥的上鱗,4,搔鳥的上皮,2,搔鳥的大飾羽,2,,,
頭部防具,搔鳥頭盔β,40,0,-3,0,1,0,11-,火耐性,1,,,搔鳥的上鱗,4,搔鳥的上皮,2,搔鳥的大飾羽,2,,,
頭部防具,眩鳥頭盔α,40,0,0,-3,-2,1,---,閃光強化,1,昏厥耐性,1,眩鳥的上鱗,4,眩鳥的上皮,2,眩鳥的閃光膜,2,深海水晶,5,
頭部防具,眩鳥頭盔β,40,0,0,-3,-2,1,1--,閃光強化,1,,,眩鳥的上鱗,4,眩鳥的上皮,2,眩鳥的閃光膜,2,深海水晶,5,
頭部防具,凶顎龍頭盔α,40,0,-3,2,0,1,---,吹笛名人,1,麻痺耐性,1,大凶顎龍的上鱗,4,大凶顎龍的上皮,2,大凶顎龍的大頭巾,1,凶顎龍的上鱗,4,
頭部防具,凶顎龍頭盔β,40,0,-3,2,0,1,1--,吹笛名人,1,,,大凶顎龍的上鱗,4,大凶顎龍的上皮,2,大凶顎龍的大頭巾,1,凶顎龍的上鱗,4,
頭部防具,毒妖鳥頭盔α,42,0,3,-3,0,1,---,棉花孢子草的知識,2,,,毒妖鳥的堅殼,2,毒妖鳥的尾巴,2,毒妖鳥之翼,3,猛毒袋,2,
頭部防具,毒妖鳥頭盔β,42,0,3,-3,0,1,11-,棉花孢子草的知識,1,,,毒妖鳥的堅殼,2,毒妖鳥的尾巴,2,毒妖鳥之翼,3,猛毒袋,2,
頭部防具,土砂龍頭盔α,42,-3,-1,3,-1,0,---,防禦性能,2,,,土砂龍的堅甲,3,土砂龍的尾巴,2,土砂龍的銳爪,3,冠突龍的堅殼,4,
頭部防具,土砂龍頭盔β,42,-3,-1,3,-1,0,1--,防禦性能,1,,,土砂龍的堅甲,3,土砂龍的尾巴,2,土砂龍的銳爪,3,冠突龍的堅殼,4,
頭部防具,蠻顎龍頭盔α,44,3,-3,-1,-1,0,---,火屬性攻擊強化,2,火耐性,1,蠻顎龍的上毛皮,4,蠻顎龍的上鱗,4,蠻顎龍的尾巴,2,爆炎袋,3,蠻顎龍之鬥志
頭部防具,蠻顎龍頭盔β,44,3,-3,-1,-1,0,2--,火屬性攻擊強化,2,,,蠻顎龍的上毛皮,4,蠻顎龍的上鱗,4,蠻顎龍的尾巴,2,爆炎袋,3,蠻顎龍之鬥志
頭部防具,泥魚龍頭盔α,44,-1,2,-3,0,0,---,適應水場,2,,,泥魚龍的上鱗,4,泥魚龍的堅殼,2,泥魚龍的上腰內肉,2,咬魚的上皮,6,
頭部防具,泥魚龍頭盔β,44,-1,2,-3,0,0,1--,適應水場,1,,,泥魚龍的上鱗,4,泥魚龍的堅殼,2,泥魚龍的上腰內肉,2,咬魚的上皮,6,
頭部防具,飛雷龍頭盔α,44,0,-3,3,0,0,---,體術,2,,,飛雷龍的上毛皮,4,飛雷龍的雷極針,4,飛雷龍的尖爪,4,龍玉,1,
頭部防具,飛雷龍頭盔β,44,0,-3,3,0,0,2--,體術,1,,,飛雷龍的上毛皮,4,飛雷龍的雷極針,4,飛雷龍的尖爪,4,龍玉,1,
頭部防具,浮空龍頭盔α,44,-3,2,0,1,0,---,耐力急速回復,2,,,浮空龍的上鱗,4,浮空龍之翼,2,浮空龍的上毛皮,2,亮水晶,2,
頭部防具,浮空龍頭盔β,44,-3,2,0,1,0,2--,耐力急速回復,1,,,浮空龍的上鱗,4,浮空龍之翼,2,浮空龍的上毛皮,2,亮水晶,2,
