type,name,defense,defense1,defense2,defense3,defense4,defense5,decoration,skill1,skLV1,skill2,skLV2,material1,mNUM,material3,mNUM2,material5,mNUM3,material7,mNUM4,caseSk
腿部防具,皮製長褲α,32,2,0,0,0,0,---,攀岩者,1,,,靈鶴石,2,良質毛皮,1,,,,,
腿部防具,皮製長褲β,32,2,0,0,0,0,1--,,,,,靈鶴石,2,良質毛皮,1,,,,,
腿部防具,鎖甲長褲α,32,0,2,0,0,0,---,體力回復量UP,1,,,靈鶴石,2,輝龍石,2,,,,,
腿部防具,鎖甲長褲β,32,0,2,0,0,0,1--,,,,,靈鶴石,2,輝龍石,2,,,,,
腿部防具,獵人護腿α,36,2,2,0,0,0,---,追蹤達人,1,投射器裝填數UP,1,凶豺龍的上皮,2,良質硬骨,3,,,,,
腿部防具,獵人護腿β,36,2,2,0,0,0,1--,追蹤達人,1,,,凶豺龍的上皮,2,良質硬骨,3,,,,,
腿部防具,骨製護腿α,36,2,0,2,0,2,---,昆蟲標本達人,2,,,良質硬骨,2,上龍骨,2,堅硬岩骨,3,,,
腿部防具,骨製護腿β,36,2,0,2,0,2,1--,昆蟲標本達人,1,,,良質硬骨,2,上龍骨,2,堅硬岩骨,3,,,
腿部防具,合金護腿α,36,-2,0,-2,-2,0,---,砥石使用高速化,2,,,靈鶴石,2,輝龍石,4,亮水晶,1,燕雀石,5,
腿部防具,合金護腿β,36,-2,0,-2,-2,0,1--,砥石使用高速化,1,,,靈鶴石,2,輝龍石,4,亮水晶,1,燕雀石,5,
腿部防具,獨角仙腳α,42,-1,-1,2,0,2,1--,探索者的幸運,1,迴避性能,1,大角鳳蝶,1,靈鶴石,2,魔物濃液,2,強力麻痺袋,2,
腿部防具,獨角仙腳β,42,-1,-1,2,0,2,21-,探索者的幸運,1,,,大角鳳蝶,1,靈鶴石,2,魔物濃液,2,強力麻痺袋,2,
腿部防具,巨蜂護腿α,38,-2,1,1,1,2,---,蜂蜜獵人,1,麻痺耐性,1,巨蜂的堅殼,4,巨蜂的薄羽,2,魔物濃液,3,強力麻痺袋,2,
腿部防具,巨蜂護腿β,38,-2,1,1,1,2,1--,蜂蜜獵人,1,,,巨蜂的堅殼,4,巨蜂的薄羽,2,魔物濃液,3,強力麻痺袋,2,
腿部防具,巨甲蟲護腿α,38,-1,-1,0,0,2,---,匠,1,龍屬性攻擊強化,1,巨甲蟲的堅殼,4,巨甲蟲的薄羽,2,巨甲蟲的頭,1,璀璨水晶,1,
腿部防具,巨甲蟲護腿β,38,-1,-1,0,0,2,1--,匠,1,,,巨甲蟲的堅殼,4,巨甲蟲的薄羽,2,巨甲蟲的頭,1,璀璨水晶,1,
腿部防具,咬魚靴α,40,0,5,0,0,0,---,適應水場,2,水屬性攻擊強化,1,咬魚的上皮,4,咬魚的大鬚,2,靈鶴石,3,,,
腿部防具,咬魚靴β,40,0,5,0,0,0,1--,適應水場,1,水屬性攻擊強化,1,咬魚的上皮,4,咬魚的大鬚,2,靈鶴石,3,,,
腿部防具,凶豺龍護腿α,40,-2,2,-1,-1,1,---,蹲下移動速度UP,1,滿足感,1,大凶豺龍的上鱗,4,大凶豺龍的上皮,2,大凶豺龍的鬃毛,2,凶豺龍的上鱗,1,
腿部防具,凶豺龍護腿β,40,-2,2,-1,-1,1,1--,蹲下移動速度UP,1,,,大凶豺龍的上鱗,4,大凶豺龍的上皮,2,大凶豺龍的鬃毛,2,凶豺龍的上鱗,1,
腿部防具,搔鳥護腿α,40,0,-3,0,1,0,---,看破,1,道具使用強化,1,搔鳥的上皮,4,搔鳥的上鱗,6,翼龍的上皮,2,大地結晶,2,
腿部防具,搔鳥護腿β,40,0,-3,0,1,0,1--,看破,1,,,搔鳥的上皮,4,搔鳥的上鱗,6,翼龍的上皮,2,大地結晶,2,
腿部防具,眩鳥護腿α,40,0,0,-3,-2,1,---,睡眠耐性,2,,,眩鳥的上鱗,4,眩鳥的上皮,2,眩鳥的尖爪,2,靈鶴石,6,
腿部防具,眩鳥護腿β,40,0,0,-3,-2,1,1--,睡眠耐性,1,,,眩鳥的上鱗,4,眩鳥的上皮,2,眩鳥的尖爪,2,靈鶴石,6,
腿部防具,凶顎龍護腿α,40,0,-3,2,0,1,---,麻痺屬性強化,2,,,大凶顎龍的上皮,2,大凶顎龍的銳牙,4,大凶顎龍的上鱗,4,扭曲狂骨,5,
腿部防具,凶顎龍護腿β,40,0,-3,2,0,1,1--,麻痺屬性強化,1,,,大凶顎龍的上皮,2,大凶顎龍的銳牙,4,大凶顎龍的上鱗,4,扭曲狂骨,5,
